sarsa_alpha,sarsa_gamma,sarsa_epsilon,sarsa_average_steps,sarsa_average_rewards,,q_learning_alpha,q_learning_gamma,q_learning_epsilon,q_learning_average_steps,q_learning_average_rewards
0.2,0.9,0.3,13.89,0.9511679688,,0.2,0.9,0.3,12.86,0.9512734375
0.2,0.9,0.4,12.82,0.9549296875,,0.2,0.9,0.4,13.19,0.9501132813
0.3,0.9,0.3,12.99,0.9543320313,,0.3,0.9,0.3,11.92,0.954578125
0.3,0.9,0.4,14.33,0.9496210938,,0.3,0.9,0.4,13.34,0.9495859375
0.4,0.9,0.3,14.38,0.9494453125,,0.4,0.9,0.3,12.06,0.9540859375
0.4,0.9,0.4,13.13,0.9538398438,,0.4,0.9,0.4,11.9,0.9546484375
0.5,0.9,0.3,13.67,0.9519414063,,0.5,0.9,0.3,11.65,0.9555273438
0.5,0.9,0.4,13.6,0.9521875,,0.5,0.9,0.4,13.5,0.9490234375
best_alpha,best_gamma,best_epsilon,best_average_steps,best_average_rewards,,best_alpha,best_gamma,best_epsilon,best_average_steps,best_average_rewards
0.2,0.9,0.4,12.82,0.9549296875,,0.5,0.9,0.3,11.65,0.9555273438
best_shared_alpha,best_shared_gamma,best_shared_epsilon,best_shared_average_steps,best_shared_average_rewards,,best_shared_alpha,best_shared_gamma,best_shared_epsilon,best_shared_average_steps,best_shared_average_rewards
0.3,0.9,0.3,12.99,0.9543320313,,0.3,0.9,0.3,11.92,0.954578125
,,,,,,,,,,
best_alpha,best_gamma,best_epsilon,,,,,,,,
0.35,0.9,0.35,,,,,,,,